Timestamp,Linea,Salud,Tiempo_Ciclo,Evento
2026-02-26 14:23:23,1,98.48,137.85,OK
2026-02-26 14:23:23,2,98.85,137.83,OK
2026-02-26 14:23:23,3,96.83,138.17,OK
2026-02-26 14:23:24,1,98.52,138.21,OK
2026-02-26 14:23:24,2,98.67,137.93,OK
2026-02-26 14:23:24,3,96.6,138.08,OK
2026-02-26 14:23:25,1,98.58,138.82,OK
2026-02-26 14:23:25,2,98.59,138.03,OK
2026-02-26 14:23:25,3,96.92,137.97,OK
2026-02-26 14:23:26,1,98.85,137.43,OK
2026-02-26 14:23:26,2,98.14,138.08,OK
2026-02-26 14:23:26,3,97.19,138.63,OK
2026-02-26 14:23:27,1,98.6,137.85,OK
2026-02-26 14:23:27,2,98.0,138.03,OK
2026-02-26 14:23:27,3,97.27,138.27,OK
2026-02-26 14:23:28,1,98.87,138.0,OK
2026-02-26 14:23:28,2,98.63,138.12,OK
2026-02-26 14:23:28,3,97.67,138.59,OK
2026-02-26 14:23:29,1,98.54,138.15,OK
2026-02-26 14:23:29,2,98.26,138.22,OK
2026-02-26 14:23:29,3,98.15,137.99,OK
2026-02-26 14:23:30,1,98.3,137.87,OK
2026-02-26 14:23:30,2,97.83,137.37,OK
2026-02-26 14:23:30,3,98.56,138.12,OK
2026-02-26 14:23:31,1,98.69,138.44,OK
2026-02-26 14:23:31,2,97.85,137.73,OK
2026-02-26 14:23:31,3,98.56,138.02,OK
2026-02-26 14:23:32,1,98.71,138.29,OK
2026-02-26 14:23:32,2,97.95,138.22,OK
2026-02-26 14:23:32,3,98.94,137.85,OK
2026-02-26 14:23:33,1,99.34,138.8,OK
2026-02-26 14:23:33,2,98.19,138.76,OK
2026-02-26 14:23:33,3,98.87,138.64,OK
2026-02-26 14:23:34,1,99.82,138.46,OK
2026-02-26 14:23:34,2,98.35,138.08,OK
2026-02-26 14:23:34,3,98.88,137.36,OK
2026-02-26 14:23:35,1,99.63,138.67,OK
2026-02-26 14:23:35,2,98.22,138.18,OK
2026-02-26 14:23:35,3,99.2,137.52,OK
2026-02-26 14:23:36,1,99.75,137.91,OK
2026-02-26 14:23:36,2,98.07,138.56,OK
2026-02-26 14:23:36,3,99.47,137.36,OK
2026-02-26 14:23:37,1,100.0,138.42,OK
2026-02-26 14:23:37,2,98.39,136.69,OK
2026-02-26 14:23:37,3,99.76,137.2,OK
2026-02-26 14:23:39,1,100.0,137.96,OK
2026-02-26 14:23:39,2,98.49,137.91,OK
2026-02-26 14:23:39,3,99.4,138.28,OK
2026-02-26 14:23:40,1,99.84,137.54,OK
2026-02-26 14:23:40,2,98.72,137.42,OK
2026-02-26 14:23:40,3,99.33,137.97,OK
2026-02-26 14:23:41,1,99.67,138.57,OK
2026-02-26 14:23:41,2,99.01,138.11,OK
2026-02-26 14:23:41,3,99.63,138.63,OK
2026-02-26 14:23:42,1,99.92,137.78,OK
2026-02-26 14:23:42,2,99.21,138.02,OK
2026-02-26 14:23:42,3,99.5,137.31,OK
2026-02-26 14:23:43,1,100.0,138.16,OK
2026-02-26 14:23:43,2,99.09,138.57,OK
2026-02-26 14:23:43,3,99.48,133.52,SPIKE
2026-02-26 14:23:44,1,99.53,136.31,OK
2026-02-26 14:23:44,2,99.49,136.8,OK
2026-02-26 14:23:44,3,99.7,173.52,SPIKE
2026-02-26 14:23:45,1,99.67,137.9,OK
2026-02-26 14:23:45,2,99.67,138.86,OK
2026-02-26 14:23:45,3,99.91,137.06,OK
2026-02-26 14:23:46,1,99.77,138.53,OK
2026-02-26 14:23:46,2,99.42,137.91,OK
2026-02-26 14:23:46,3,100.0,138.47,OK
2026-02-26 14:23:47,1,100.0,138.25,OK
2026-02-26 14:23:47,2,99.43,137.63,OK
2026-02-26 14:23:47,3,100.0,137.41,OK
2026-02-26 14:23:48,1,100.0,137.34,OK
2026-02-26 14:23:48,2,99.87,137.27,OK
2026-02-26 14:23:48,3,100.0,138.39,OK
2026-02-26 14:23:49,1,99.84,137.71,OK
2026-02-26 14:23:49,2,100.0,136.99,OK
2026-02-26 14:23:49,3,99.46,138.71,OK
2026-02-26 14:23:50,1,100.0,138.29,OK
2026-02-26 14:23:50,2,99.61,137.91,OK
2026-02-26 14:23:50,3,99.66,137.91,OK
2026-02-26 14:23:51,1,99.58,138.5,OK
2026-02-26 14:23:51,2,99.58,137.5,OK
2026-02-26 14:23:51,3,99.39,137.55,OK
2026-02-26 14:23:52,1,99.98,138.77,OK
2026-02-26 14:23:52,2,100.0,138.38,OK
2026-02-26 14:23:52,3,99.33,137.74,OK
2026-02-26 14:23:53,1,100.0,137.52,OK
2026-02-26 14:23:53,2,99.64,138.31,OK
2026-02-26 14:23:53,3,98.99,137.9,OK
2026-02-26 14:23:54,1,100.0,138.01,OK
2026-02-26 14:23:54,2,99.04,136.99,OK
2026-02-26 14:23:54,3,99.27,136.47,OK
2026-02-26 14:23:55,1,100.0,137.56,OK
2026-02-26 14:23:55,2,99.16,138.41,OK
2026-02-26 14:23:55,3,99.0,138.12,OK
2026-02-26 14:23:56,1,99.95,136.92,OK
2026-02-26 14:23:56,2,99.59,137.3,OK
2026-02-26 14:23:56,3,99.26,138.28,OK
2026-02-26 14:23:57,1,99.38,139.02,OK
2026-02-26 14:23:57,2,98.84,138.75,OK
2026-02-26 14:23:57,3,98.97,138.28,OK
2026-02-26 14:23:58,1,98.84,137.43,OK
2026-02-26 14:23:58,2,98.85,136.88,OK
2026-02-26 14:23:58,3,98.87,140.31,STUCK
2026-02-26 14:23:59,1,98.9,137.98,OK
2026-02-26 14:23:59,2,98.67,138.12,OK
2026-02-26 14:23:59,3,0,0,MANTENIMIENTO
2026-02-26 14:24:00,1,99.48,138.95,OK
2026-02-26 14:24:00,2,99.11,139.14,OK
2026-02-26 14:24:00,3,0,0,MANTENIMIENTO
2026-02-26 14:24:01,1,99.4,136.9,OK
2026-02-26 14:24:01,2,99.6,136.76,OK
2026-02-26 14:24:01,3,0,0,MANTENIMIENTO
2026-02-26 14:24:02,1,99.44,137.67,OK
2026-02-26 14:24:02,2,99.41,138.46,OK
2026-02-26 14:24:02,3,0,0,MANTENIMIENTO
2026-02-26 14:24:03,1,99.05,139.02,OK
2026-02-26 14:24:03,2,99.58,137.44,OK
